targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,244545.0,244545.0,0.19286154210567474,0.13380463421344757,61.0,0.25120091438293457,0.24251970648765564
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.0,0.95,352577.0,352577.0,0.19386497139930725,0.14391636848449707,65.0,0.18804402649402618,0.20952355861663818
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,248833.0,248833.0,0.10218759626150131,0.10032583028078079,173.0,0.10149962455034256,0.10163452476263046
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,253121.0,253121.0,0.9294373989105225,0.9294465780258179,23.0,0.9294580221176147,0.9294582009315491
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,relu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,356865.0,356865.0,0.10417308658361435,0.10400770604610443,275.0,0.10679663717746735,0.10702774673700333
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,352577.0,352577.0,0.12488154321908951,0.11581336706876755,99.0,0.12376011908054352,0.1248844712972641
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.9294378161430359,0.929456353187561,25.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,relu,3.0,0.003,constant,1.0,0.95,253121.0,253121.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,relu,relu,3.0,0.001,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],250.0,512.0,0.0,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,248833.0,248833.0,0.09855880588293076,0.09823695570230484,121.0,0.10166230797767639,0.10032989829778671
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.17979185283184052,0.1502486616373062,107.0,0.15674734115600586,0.1797959804534912
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.14516235888004303,0.10719475895166397,109.0,0.11271438002586365,0.11312369257211685
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.1026194840669632,0.10207143425941467,175.0,0.1158737987279892,0.1044660285115242
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.0,0.95,469185.0,469185.0,0.11652128398418427,0.10402031242847443,85.0,0.11373776942491531,0.11579455435276031
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,352577.0,352577.0,0.12271124124526978,0.11933618783950806,95.0,0.14516320824623108,0.13062669336795807
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.2158190906047821,0.10313477367162704,83.0,0.11400428414344788,0.11335209012031555
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,352577.0,352577.0,0.11172747611999512,0.10835839062929153,139.0,0.11341048777103424,0.11173004657030106
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,relu,leakyrelu,2.0,0.001,constant,1.0,0.95,464897.0,464897.0,0.2477283924818039,0.0998375341296196,133.0,0.10823599994182587,0.24773408472537994
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,253121.0,253121.0,0.09975266456604004,0.09969761222600937,435.0,0.10155259072780609,0.10015266388654709
[0],250.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,352577.0,352577.0,0.11297179758548737,0.11265424638986588,213.0,0.11299404501914978,0.11301372200250626
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,352577.0,352577.0,0.09530546516180038,0.0952528864145279,233.0,0.09549807012081146,0.0953277125954628
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,244545.0,244545.0,0.10303011536598206,0.10187535732984543,233.0,0.10218650847673416,0.10222127288579941
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.0,0.95,356865.0,356865.0,0.13285313546657562,0.10004524141550064,109.0,0.10944785177707672,0.11100462079048157
[0],250.0,512.0,1e-05,1e-05,L2,64.0,5.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,568641.0,568641.0,0.18891854584217072,0.18827548623085022,39.0,0.42458075284957886,0.38440191745758057
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,253121.0,253121.0,0.09934976696968079,0.09916216880083084,263.0,0.09937454760074615,0.09935203939676285
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.0979720801115036,0.09246474504470825,121.0,0.09995543956756592,0.0985863134264946
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,244545.0,244545.0,0.11413595080375671,0.11326390504837036,231.0,0.11392682790756226,0.1138295903801918
[0],250.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.0,0.95,244545.0,244545.0,0.2240612953901291,0.1169092208147049,99.0,0.21357323229312897,0.22406648099422455
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_expcos,1.3,0.98,356865.0,356865.0,0.09802022576332092,0.09707801789045334,175.0,0.10323029011487961,0.10110000520944595
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,relu,3.0,0.003,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,2.0,0.003,constant,1.0,0.95,356865.0,356865.0,0.10914041101932526,0.1022191122174263,101.0,0.11186689138412476,0.11459088325500488
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,356865.0,356865.0,0.10636211186647415,0.10577166080474854,183.0,0.10638389736413956,0.10636455565690994
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,356865.0,356865.0,0.09453470259904861,0.09296778589487076,237.0,0.09651024639606476,0.09414375573396683
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.10405632108449936,0.10021097958087921,195.0,0.10644303262233734,0.10420776903629303
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,relu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,352577.0,352577.0,0.33868399262428284,0.12733805179595947,51.0,0.2161283940076828,0.2309310883283615
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,464897.0,464897.0,0.10549868643283844,0.09415286034345627,111.0,0.09709688276052475,0.0958910882472992
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,warmup_expcos,1.3,0.98,253121.0,253121.0,0.10997587442398071,0.09881103038787842,339.0,0.10620087385177612,0.10248176753520966
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,352577.0,352577.0,0.2900322377681732,0.12588874995708466,71.0,0.2075510323047638,0.1547468602657318
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,361153.0,361153.0,0.0994611456990242,0.09886744618415833,227.0,0.09919627010822296,0.09911160171031952
[0],250.0,512.0,0.0,0.0,L2,64.0,2.0,relu,relu,2.0,0.001,constant,1.0,0.95,248833.0,248833.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,relu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,248833.0,248833.0,0.09831259399652481,0.09798872470855713,495.0,0.10035613179206848,0.09912853688001633
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,352577.0,352577.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,460609.0,460609.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.0,0.95,356865.0,356865.0,0.244731143116951,0.11053748428821564,93.0,0.13648013770580292,0.11739737540483475
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,relu,leakyrelu,1.0,0.001,constant,1.0,0.95,352577.0,352577.0,0.1661325991153717,0.11614600569009781,139.0,0.15412747859954834,0.15577515959739685
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,356865.0,356865.0,0.0951133444905281,0.09356645494699478,193.0,0.09392909705638885,0.09400758147239685
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,relu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,460609.0,460609.0,0.11254770308732986,0.11128085851669312,185.0,0.11449337750673294,0.11286284774541855
[0],500.0,512.0,0.0,1e-05,L2,64.0,4.0,relu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,469185.0,469185.0,0.10378885269165039,0.1019933819770813,117.0,0.10405051708221436,0.103791244328022
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,356865.0,356865.0,0.13269595801830292,0.09981545060873032,79.0,0.12717942893505096,0.12448825687170029
[0],250.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,352577.0,352577.0,0.11256096512079239,0.1125635951757431,249.0,0.11275655031204224,0.11261237412691116
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,leakyrelu,relu,1.0,0.003,constant,1.0,0.95,244545.0,244545.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,0.0,1e-05,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.0,0.95,464897.0,464897.0,0.11967745423316956,0.10330566763877869,129.0,0.11007734388113022,0.1109587773680687
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,460609.0,460609.0,0.09869512915611267,0.09722857177257538,217.0,0.10760432481765747,0.09902672469615936
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,356865.0,356865.0,0.09669093787670135,0.0966179147362709,161.0,0.09741050004959106,0.09718184918165207
[0],250.0,512.0,0.0,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,248833.0,248833.0,0.10326507687568665,0.10281091928482056,249.0,0.10322976112365723,0.10326743870973587
[0],250.0,512.0,1e-05,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.13240361213684082,0.11731085181236267,249.0,0.12866945564746857,0.1378767490386963
[0],500.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.0,0.95,244545.0,244545.0,0.10157357156276703,0.0941849872469902,159.0,0.12106595933437347,0.10872045159339905
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,356865.0,356865.0,0.11267168074846268,0.09958168119192123,153.0,0.10373431444168091,0.1023726761341095
[0],250.0,512.0,0.0,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,248833.0,248833.0,0.09467397630214691,0.09298291057348251,121.0,0.094525545835495,0.0939868837594986
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.11722840368747711,0.1132236048579216,119.0,0.11606288701295853,0.11420586705207825
[0],500.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,relu,3.0,0.003,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,244545.0,244545.0,0.14349126815795898,0.1284506767988205,49.0,0.15498284995555878,0.14349457621574402
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,relu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.12877681851387024,0.11257137358188629,71.0,0.14545407891273499,0.14464852213859558
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.0966820940375328,0.09549719840288162,175.0,0.09971794486045837,0.09691975265741348
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,460609.0,460609.0,0.0906352624297142,0.08877885341644287,337.0,0.09021234512329102,0.08929425477981567
[0],250.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,253121.0,253121.0,0.10157182812690735,0.10157416015863419,249.0,0.10202869027853012,0.10186108201742172
[0],250.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,244545.0,244545.0,0.10059594362974167,0.10055574029684067,249.0,0.10088266432285309,0.10066290199756622
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.0,0.95,356865.0,356865.0,0.13102377951145172,0.10500794649124146,165.0,0.11509339511394501,0.1236141100525856
